Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,"=""0060987103""","=""9780060987107""",3,3.52,William Morrow Paperbacks,Paperback,409,2000,1995,,2008/09/30,,,read,,,,,,,0,,,,,
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May",,"=""0451529308""","=""9780451529305""",5,4.04,Signet Classics,Paperback,449,2004,1868,,2008/09/30,,,read,,,,,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",4,4.33,Riverhead,Hardcover,372,2007,2007,2011/05/30,2008/09/30,,,read,,,,,,,0,,,,,
19501,"Eat, Pray, Love",Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""0143038419""","=""9780143038412""",4,3.50,Penguin (Non-Classics),Paperback,334,2007,2006,2009/05/21,2008/09/30,,,read,"I didn't enjoy ""Italy"" all that much - probably because she was moping and haven't find happiness at that point. I was inspired from her ""India"" section to rediscover meditation. And her ""Indonesia"" section just confirmed how much I want to visit Bali.",,,,,,0,,,,,
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",5,3.88,Seal Books,Paperback,460,2006,2001,,2008/09/30,,,read,,,,,,,0,,,,,
14050,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""0965818675""","=""9780965818674""",5,3.95,MacAdam/Cage,Paperback,528,2003,2003,,2008/09/30,,,read,,,,,,,0,,,,,
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",5,3.98,Picador,Paperback,529,2002,2002,,2008/09/30,,,read,,,,,,,0,,,,,
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",4,3.85,Vintage Contemporaries,Paperback,226,2004,2003,,2008/09/30,,,read,,,,,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",4,3.85,Pocket Books,Mass Market Paperback,713,2006,2000,,2008/09/30,,,read,,,,,,,0,,,,,
4137,Me Talk Pretty One Day,David Sedaris,"Sedaris, David",,"=""0349113912""","=""9780349113913""",0,3.97,"Little, Brown and Company",Paperback,272,2001,2000,,2008/09/30,to-read,to-read (#2),to-read,,,,,,,0,,,,,
12232938,The Lovely Bones,Alice Sebold,"Sebold, Alice",,"=""0316166685""","=""9780316166683""",3,3.77,"Little, Brown and Company",Mass Market Paperback,328,2006,2002,2011/11/27,2008/09/30,,,read,,,,,,,0,,,,,
37435,The Secret Life of Bees,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0142001740""","=""9780142001745""",0,4.01,Penguin Books,Paperback,336,2003,2001,,2008/09/30,,,read,,,,,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",5,3.84,Penguin,Paperback,112,2002,1937,,2008/09/30,,,read,,,,,,,0,,,,,
930,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""0739326228""","=""9780739326220""",5,4.08,Random House Large Print Publishing,Hardcover,434,2005,1997,,2008/09/30,,,read,,,,,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",,"=""0679783261""","=""9780679783268""",5,4.24,Modern Library,Paperback,279,2000,1813,,2008/09/30,,,read,,,,,,,0,,,,,
