Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1625,Twelfth Night,William Shakespeare,"Shakespeare, William",,"=""0743482778""","=""9780743482776""",5,3.97,Simon & Schuster,Paperback,220,2004,1601,2017/01/31,2017/02/01,,,read,,,,,,,0,,,,,
18626815,"Wool Omnibus Edition (Silo, #1; Wool, #1-5)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,4.24,Broad Reach Publishing,Kindle Edition,530,2012,2012,2017/02/28,2017/01/31,,,read,,,,1,,,0,,,,,
23290548,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""""","=""""",0,4.40,Metropolitan Books,Kindle Edition,304,2014,2014,,2017/01/24,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham Verghese,"=""""","=""""",5,4.32,Random House,Kindle Edition,208,2016,2016,2017/01/24,2017/01/16,,,read,,,,,,,0,,,,,
10351434,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""""","=""""",2,4.08,,Kindle Edition,256,,1973,2017/01/03,2017/01/03,,,read,,,,,,,0,,,,,
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0385486804""","=""9780385486804""",0,3.94,Anchor,Paperback,207,1997,1996,,2017/01/02,,,read,,,,,,,0,,,,,
28509312,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""""","=""""",4,3.91,Crown,Kindle Edition,272,2016,2016,,2016/12/28,,,read,,,,1,,,0,,,,,
29083367,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"Yong, Ed",,"=""""","=""""",5,4.22,Ecco,Kindle Edition,368,2016,2016,2017/05/02,2016/12/28,,,read,,,,1,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.16,Henry Holt and Co.,Hardcover,368,2016,2016,,2016/12/28,to-read,to-read (#11),to-read,,,,,,,0,,,,,
25779641,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Brad Warner,"Warner, Brad",,"=""1608683885""","=""9781608683888""",0,3.93,New World Library,Paperback,328,2016,2016,,2016/12/28,to-read,to-read (#10),to-read,,,,,,,0,,,,,
32928614,The Long and the Short of It: How We Came to Measure Our World,Graeme Donald,"Donald, Graeme",,"=""""","=""""",3,3.50,Michael O'Mara,Kindle Edition,192,2016,,2017/01/08,2016/12/26,,,read,,,,,,,0,,,,,
18858109,The Simpsons and Their Mathematical Secrets,Simon Singh,"Singh, Simon",,"=""""","=""9781620402795""",5,3.83,Bloomsbury USA,Kindle Edition,272,2013,2013,2016/12/08,2016/12/01,,,read,,,,,,,0,,,,,
32145,Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Roach, Mary",,"=""0393324826""","=""9780393324822""",0,4.05,W. W. Norton  Company,Paperback,320,2004,2003,,2016/12/01,,,read,,,,,,,0,,,,,
24972518,"Math Geek: From Klein Bottles to Chaos Theory, a Guide to the Nerdiest Math Facts, Theorems, and Equations",Raphael Rosen,"Rosen, Raphael",,"=""1440583811""","=""9781440583810""",3,3.39,Adams Media,Paperback,255,2015,2015,2016/09/29,2016/11/29,,,read,"This is a book of short math phenomena and stories that would be most appealing to a person with a little math experience. I found myself wanting more depth. How many new things you discover will likely be correlated to how much you enjoy the book, but isn't that usually the case?",,,,,,0,,,,,
10808486,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""""","=""""",4,4.04," Farrar, Straus and Giroux",Kindle Edition,228,2010,1962,2016/12/23,2016/11/29,,,read,,,,,,,0,,,,,
101249,I'm Just Here for the Food: Food + Heat = Cooking,Alton Brown,"Brown, Alton",,"=""1584790830""","=""9781584790839""",5,4.21,"Stewart, Tabori & Chang",Hardcover,288,2002,2002,,2016/11/29,,,read,,,,,,,0,,,,,
30011981,Absolutely on Music: Conversations with Seiji Ozawa,Haruki Murakami,"Murakami, Haruki","Seiji Ozawa, Jay Rubin","=""""","=""""",4,3.85,Knopf,Kindle Edition,352,2016,2011,2016/11/29,2016/11/29,,,read,,,,,,,0,,,,,
29866200,The Meanings of Craft Beer (Kindle Single),Evan Rail,"Rail, Evan",,"=""""","=""""",5,3.62,,Kindle Edition,43,2016,,2016/11/08,2016/11/08,,,read,"<strong>Really interesting essay</strong><br/><br/>This is a short history of what it means to say ""craft beer"". The story of its origins and the evolution of the term was excellent. The conclusion was very satisfying. I want to go learn more about the beers I drink now that I've read this.",,,,,,0,,,,,
54976,Encounters with the Archdruid,John McPhee,"McPhee, John",,"=""0374514313""","=""9780374514310""",0,4.18,"Farrar, Straus and Giroux",Paperback,256,1977,1971,,2016/09/14,to-read,to-read (#9),to-read,,,,,,,0,,,,,
75,Uncommon Carriers,John McPhee,"McPhee, John",,"=""0374280398""","=""9780374280390""",5,3.93,"Farrar, Straus and Giroux",Hardcover,256,2006,2006,2008/01/01,2016/09/14,,,read,,,,,,,0,,,,,
29058155,"Harry Potter and the Cursed Child (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""""","=""""",3,3.76,Pottermore,Kindle Edition,320,2016,2016,2016/09/04,2016/09/04,,,read,,,,,,,0,,,,,
9800230,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,"Kean, Sam",,"=""""","=""""",4,3.89,"Little, Brown and Company",Kindle Edition,390,2010,2010,2016/12/01,2016/06/28,,,read,,,,,,,0,,,,,
24051735,Best Easy Day Hikes Hawaii: Maui (Best Easy Day Hikes Series),Suzanne Swedo,"Swedo, Suzanne",,"=""""","=""""",4,4.22,Falcon Guides,Kindle Edition,96,2010,2010,2016/06/01,2016/06/01,,,read,,,,,,,0,,,,,
27307047,Bloodline,Claudia Gray,"Gray, Claudia",,"=""""","=""""",3,4.07,LucasBooks,Kindle Edition,352,2016,2016,2016/06/28,2016/06/01,,,read,,,,,,,0,,,,,
25654388,Lost Stars (Journey to Star Wars: The Force Awakens),Claudia Gray,"Gray, Claudia",,"=""""","=""""",3,4.25,Disney Lucasfilm Press,Kindle Edition,560,2015,2015,2016/05/30,2016/05/22,,,read,,,,,,,0,,,,,
17162633,"On Basilisk Station (Honor Harrington, #1)",David Weber,"Weber, David",,"=""""","=""""",5,4.11,Baen Books,Kindle Edition,432,2012,1992,2016/05/29,2016/05/19,,,read,,,,,,,0,,,,,
30074101,Raspberry Pi 3: Let's Start Here: Raspberry Pi 3,Kenny Blue,"Blue, Kenny",,"=""""","=""""",2,3.40,,Kindle Edition,30,2016,,2016/05/19,2016/05/19,,,read,,,,,,,0,,,,,
20439696,How Do You Grab a Naked Lady?: A Memoir,Sharon L. Hicks,"Hicks, Sharon L.",,"=""""","=""""",4,4.15,AbbottPress,Kindle Edition,279,2012,2012,2016/05/16,2016/05/11,,,read,,,,,,,0,,,,,
20603758,Ready Player One,Ernest Cline,"Cline, Ernest",,"=""""","=""""",0,4.31,Broadway Books,Kindle Edition,386,2011,2011,,2016/05/11,to-read,to-read (#8),to-read,,,,,,,0,,,,,
18601166,Othello,William Shakespeare,"Shakespeare, William",,"=""""","=""""",5,3.87,,Kindle Edition,116,2012,1603,2016/04/22,2016/04/23,,,read,,,,,,,0,,,,,
25697808,The Rise of the Empire,John Jackson Miller,"Miller, John Jackson",James Luceno,"=""""","=""""",4,4.09,LucasBooks,Kindle Edition,720,2015,2015,2016/05/11,2016/03/20,,,read,,,,,,,0,,,,,
6902644,xkcd: volume 0,Randall Munroe,"Munroe, Randall",,"=""0615314465""","=""9780615314464""",0,4.34,Breadpig,Paperback,120,2010,2009,,2016/03/06,to-read,to-read (#7),to-read,,,,,,,0,,,,,
25329850,Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,"Munroe, Randall",,"=""0544668251""","=""9780544668256""",4,4.14,Houghton Mifflin Harcourt,Hardcover,64,2015,2015,,2016/03/06,,,read,,,,,,,0,,,,,
25614551,LEGO Star Wars: Small Scenes from a Big Galaxy,Vesa Lehtimäki,"Lehtimäki, Vesa",,"=""1465440097""","=""9781465440099""",3,4.04,DK Children,Hardcover,176,2015,2015,,2016/03/06,,,read,,,,,,,0,,,,,
26090564,"Always Hungry?: Conquer Cravings, Retrain Your Fat Cells, and Lose Weight Permanently",David Ludwig,"Ludwig, David",,"=""""","=""""",5,3.79,Grand Central Life & Style,Kindle Edition,338,2016,2015,,2016/03/06,,,read,,,,,,,0,,,,,
6297458,"Suzuki Violin School, Volume 1: Piano Accompaniment",Shinichi Suzuki,"Suzuki, Shinichi",,"=""0739051903""","=""9780739051900""",5,4.30,"Alfred Publishing Co., Inc.",Paperback,27,2000,1971,,2016/03/06,,,read,,,,,,,0,,,,,
22514020,NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,Steve Silberman,"Silberman, Steve",,"=""158333467X""","=""9781583334676""",4,4.30,Avery/Penguin Random House LLC,Hardcover,477,2015,2015,2015/12/24,2016/01/01,,,read,"Really superb description of the work of the early pioneers of autism description. It dragged a little in the middle, but the stories of Asperger, Kanner, and other unsung heroes were excellent. I really liked the neurodiversity angle.",,,,,,0,,,,,
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0812993543""","=""9780812993547""",3,4.40,Spiegel & Grau,Hardcover,152,2015,2015,2016/03/06,2016/01/01,,,read,,,,,,,0,,,,,
27241935,Child Health: A Population Perspective,Alice A. Kuo,"Kuo, Alice A.","Ryan J. Coller, Sarah Stewart-Brown, Mitch Blair","=""""","=""""",0,2.33,Oxford University Press,Kindle Edition,368,2015,2015,,2015/12/30,currently-reading,currently-reading (#2),currently-reading,,,,,,,0,,,,,
23148927,How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"Johnson, Steven",,"=""""","=""""",3,4.04,Riverhead,Kindle Edition,,2014,2014,2016/03/06,2015/12/23,,,read,"Some nice stories about certain old school industries (ice trafficking to the South being the most unusual), but the causation in the narrative feels too much like an overreach",,,,,,0,,,,,
24172101,The Sword of Summer (Magnus Chase and the Gods of Asgard #1),Rick Riordan,"Riordan, Rick",,"=""""","=""""",4,4.26,Disney Hyperion,Kindle Edition,491,2015,2015,2015/11/27,2015/11/27,owen,owen (#1),read,,,,,,,0,,,,,
19553030,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,"Miodownik, Mark",,"=""""","=""""",4,4.06,Houghton Mifflin Harcourt,Kindle Edition,272,2014,2013,2015/11/14,2015/11/14,,,read,,,,,,,0,,,,,
18902634,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""""","=""""",0,3.87,"Little, Brown and Company",Kindle Edition,774,2013,2013,,2015/09/06,to-read,to-read (#4),to-read,,,,,,,0,,,,,
1641695,Laika,Nick Abadzis,"Abadzis, Nick",,"=""1596431016""","=""9781596431010""",5,3.96,First Second,Paperback,208,2007,2007,,2015/09/06,,,read,,,,,,,0,,,,,
196924,"Owly, Vol. 1:  The Way Home & The Bittersweet Summer (Owly, #1)",Andy Runton,"Runton, Andy",,"=""1891830627""","=""9781891830624""",4,4.06,Top Shelf Productions,Paperback,160,2004,2004,,2015/09/06,,,read,,,,,,,0,,,,,
24553352,Wind/Pinball: Two Early Novels,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",4,3.55,Knopf,Kindle Edition,256,2015,1979,2015/09/06,2015/09/01,,,read,,,,,,,0,,,,,
18710619,"A Song of Ice and Fire, 5-Book Boxed Set: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (Song of Ice & Fire 1-5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.63,Bantam,Kindle Edition,4558,2012,2000,,2015/07/28,currently-reading,currently-reading (#1),currently-reading,,,,,,,0,,,,,
21463939,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""""","=""""",5,4.17,Houghton Mifflin Harcourt,Kindle Edition,303,2014,2014,2015/07/27,2015/07/27,,,read,,,,,,,0,,,,,
18191269,FOUND IT! Introducing Geocaching to Kids and Families,Phyllis J. Perry,"Perry, Phyllis J.",David L. Perry,"=""""","=""""",5,2.38,,Kindle Edition,79,2012,2012,2015/05/26,2015/05/26,,,read,,,,,,,0,,,,,
18908874,Bomber the Police Dog - inspired by true story ( for reader age 8 and above ),Dp Publishing,"Publishing, Dp",,"=""""","=""""",5,4.00,,Kindle Edition,31,2013,2013,2015/04/09,2015/04/09,,,read,,,,,,,0,,,,,
1103,Snow Flower and the Secret Fan,Lisa See,"See, Lisa",,"=""0812968069""","=""9780812968064""",4,4.05,Random House ,Paperback,269,2006,2005,,2015/04/08,,,read,,,,,,,0,,,,,
7445,The Glass Castle: A Memoir,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",4,4.23,Scribner,Paperback,288,2006,2005,,2015/04/08,,,read,,,,,,,0,,,,,
129594,365 Penguins,Jean-Luc Fromental,"Fromental, Jean-Luc",Joëlle Jolivet,"=""081094460X""","=""9780810944602""",5,4.08,Harry N. Abrams,Hardcover,48,2006,2006,,2015/04/08,,,read,,,,,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0545010225""","=""9780545010221""",5,4.61,Arthur A. Levine Books,Hardcover,784,2007,2007,,2015/04/08,,,read,,,,,,,0,,,,,
9717320,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""""","=""""",4,4.24,Katherine Tegen Books,Kindle Edition,501,2011,2011,,2015/04/08,,,read,,,,,,,0,,,,,
13068756,Insurgent (Divergent #2),Veronica Roth,"Roth, Veronica",,"=""""","=""""",4,4.07,Katherine Tegen Books ,Kindle Edition,544,2012,2012,,2015/04/08,,,read,,,,,,,0,,,,,
17406183,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""""","=""""",4,3.64,Katherine Tegen Books,Kindle Edition,545,2013,2013,,2015/04/08,,,read,,,,,,,0,,,,,
24952631,The Paradise of Glass (The Glassblower Trilogy #3),Petra Durst-Benning,"Durst-Benning, Petra",Samuel Willcocks,"=""""","=""""",0,3.93,AmazonCrossing,Kindle Edition,386,2015,2007,,2015/04/08,to-read,to-read (#3),to-read,,,,,,,0,,,,,
21403302,The Bone Clocks,David Mitchell,"Mitchell, David",,"=""""","=""""",4,3.81,Random House,Kindle Edition,640,2014,2014,2015/04/22,2015/03/31,,,read,,,,,,,0,,,,,
22490765,Mars Rover Curiosity: An Inside Account from Curiosity's Chief Engineer,Rob Manning,"Manning, Rob",William L. Simon,"=""""","=""""",0,3.99,Smithsonian Books,Kindle Edition,240,2014,2014,,2015/01/16,to-read,to-read (#6),to-read,,,,,,,0,,,,,
18857536,Maps and Legends: Reading and Writing Along the Borderlands,Michael Chabon,"Chabon, Michael",,"=""""","=""""",0,3.68,Open Road Media,Kindle Edition,203,2011,2008,,2015/01/05,to-read,to-read (#5),to-read,,,,,,,0,,,,,
20639917,Flash Boys,Michael   Lewis,"Lewis, Michael",,"=""""","=""""",4,4.11,W. W. Norton & Company,Kindle Edition,304,2014,2014,2015/01/04,2014/12/21,,,read,,,,,,,0,,,,,
21230742,"Maker Dad: Lunch Box Guitars, Anti-Gravity Jars, and 22 Other Incredibly Cool Father-Daughter DIY Projects",Mark Frauenfelder,"Frauenfelder, Mark",,"=""""","=""""",4,3.98,Amazon Publishing,Kindle Edition,240,2014,2014,,2014/12/20,,,read,,,,,,,0,,,,,
21856367,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.03,Simon and Schuster,Hardcover,528,2014,2014,,2014/11/24,to-read,to-read (#2),to-read,,,,,,,0,,,,,
13593532,Every Day is an Atheist Holiday!,Penn Jillette,"Jillette, Penn",,"=""0399161562""","=""9780399161568""",2,3.84,Blue Rider Press,Hardcover,304,2012,2012,2014/12/20,2014/11/23,,,read,,,,,,,0,,,,,
192222,Solve Your Child's Sleep Problems,Richard Ferber,"Ferber, Richard",,"=""0743201639""","=""9780743201636""",5,3.88,Touchstone,Paperback,464,2006,1985,,2014/11/23,,,read,,,,,,,0,,,,,
